US,842
FR,251
UK,826
DE,280
CA,124
IN,699
AU,36
IT,381
JP,392
CN,156
RU,643
ES,724
PL,616
NL,528
IR,364
BR,76
SE,752
NZ,554
MX,484
CH,757
NO,579
RO,642
TR,792
ZA,711
BE,56
AT,40
GR,300
AR,32
PH,608
PT,620
PK,588
DK,208
IL,376
FI,246
EG,818
ID,360
HU,348
TW,158
KR,410
UA,804
